amrs_concept_id,kenyaemr_concept_uuid
766,86343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
767,767AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
768,768AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
780,780AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
782,782AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
784,81724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
790,790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
792,792AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
794,794AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
796,74807AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
797,86663AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
802,84795AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
814,70056AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
817,817AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
819,819AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
822,822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
823,823AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
825,825AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
832,832AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
836,117543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
840,840AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
843,843AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
851,851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
856,856AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
864,135462AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
868,135595AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
871,871AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
