amrs_concept_id,kenyaemr_concept_uuid,Category
981,981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
990,990AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
991,142630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1067,1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1088,1088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1107,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1108,1108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1109,1109AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1111,1111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1113,1113AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1115,1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1116,1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1118,1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1119,162737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1120,1120AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1123,1123AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1124,1124AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1125,1125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1126,1126AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1128,1128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1129,752132fb-235c-45cd-8914-854c388e358f,
1131,1131AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1138,1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1142,1142AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1148,1148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1169,138571AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1174,1174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1175,1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1185,1185AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1193,1193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1194,1194AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1198,1198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1204,1204AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1205,1205AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1206,1206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1207,1207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1210,1210AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1212,1212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1215,1215AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1220,1220AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1221,1221AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1222,1222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1223,1223AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1246,1246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1249,1249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1257,1257AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1258,1258AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1259,1259AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1260,1260AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1266,1266AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1267,1267AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1271,1271AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1272,1272AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,EAC
1283,1283AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1294,1294AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1295,1295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1302,1302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1343,1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1410,160639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,161643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1435,146513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1439,117829AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1441,148762AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1443,121543AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1447,139505AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1468,124601AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1471,153701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1480,132652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1486,116214AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1499,159599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1516,114662AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1530,120148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1552,166541AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1558,a55f9516-ddb6-47ec-b10d-cb99d1d0bd41,
1561,688f487b-0c2e-4ad8-89bf-881101762cce,
1573,1599AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1575,162192AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1587,6c91dbf1-030d-4946-a45d-6f747f6c867b,
1593,160034AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
