AMRS Concept ID,KenyEMR Concept UUID
6964,161361AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
9435,104565AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
9055,162201AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
817,817AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
9050,162199AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
9051,162200AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10797,162565AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
6467,1652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10798,162561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10799,164511AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
10800,164512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1065,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1066,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
973,973AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
972,972AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1410,160639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1672,1527AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1669,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5617,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
5622,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
