amrs_concept_id,kenyaemr_concept_uuid,kenyaemr_concep_id
2056,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2056,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
2056,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
",,",5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5090,5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5090,,
1343,1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5629,5629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5629,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5629,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1174,1174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1174,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1174,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10653,160638AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10873,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10872,160641AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
ui-select-extended,160638AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,160640AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,973AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,972AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,160639AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,1527AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10741,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10873,160642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10872,160641AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1246,1246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1246,1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1246,1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,161643AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,978AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,161642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,159802AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
1412,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10653,160638AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5088,5088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5087,5087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5085,5085AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5086,5086AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5242,5242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5092,5092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5089,5089AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10805,163300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10805,1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10805,163302AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10805,163303AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
10805,114413AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5090,5090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
BMI,,
1343,1343AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
9782,cf543666-ce76-4e91-8b8d-c0b54a436a2e,
9782,5d308c8c-ad49-45e1-9885-e5d09a8e5587,
9782,bf850dd4-309b-4cbd-9470-9d8110ea5550,
6578,160581AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,105AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,160666AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,160578AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,162198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
